Year,Player Name,Position,Team,College / Origin,Year Drafted,Draft Pick,Height,Weight,Minutes Per Game,Points Per Game,Rebounds Per Game,Assists Per Game,Blocks Per Game,Steals Per Game,Turnovers Per Game,FG%,3P%,FT%,Win Shares
1997,Kisha Ford,G-F,NYL,Georgia Tech,1997,27,5-10,153lb,16.9,4.1,1.7,0.9,0.2,1.0,1.4,0.377,0.15,0.614,0.5
1997,Kym Hampton,C,NYL,Arizona State,1997,4,6-2,210lb,23.7,9.8,5.8,1.4,0.7,1.4,1.8,0.474,0.0,0.64,3.7
1997,Lady Grooms,F,UTA,Georgia,1997,,5-10,160lb,24.7,5.5,3.0,2.4,0.1,0.8,2.8,0.347,0.1,0.655,-1.8
1997,Latasha Byears,G-F,SAC,DePaul,,Undrafted,5-11,206lb,23.4,8.7,6.9,1.7,0.3,1.4,2.4,0.459,0.2,0.739,1.9
1997,Laure Savasta,G,SAC,Washington,,Undrafted,5-8,,11.2,2.4,0.4,0.9,0.1,0.3,1.5,0.244,0.2,0.778,-0.8
1997,Linda Burgess,F,LAS,Alabama,,Undrafted,6-1,173lb,17.6,6.5,4.2,0.3,0.5,0.7,1.7,0.541,0.5,0.735,1.7
1997,Lisa Leslie,C,LAS,USC,1997,,6-5,170lb,32.2,15.9,9.5,2.6,2.1,1.4,3.9,0.431,0.261,0.598,3.5
1997,Lynette Woodard,G,CLE,Kansas,1997,10,6-0,160lb,25.4,7.8,4.1,2.4,0.4,1.6,2.5,0.401,0.0,0.672,1.1
1997,Marcie Alberts,G,CLE,Ohio State,,Undrafted,5-4,,6.0,0.0,0.2,0.6,0.0,0.4,0.6,0.0,0.0,,-0.1
1997,Margold Clark,F-C,SAC,Arizona,,Undrafted,,,11.5,1.8,1.5,0.3,0.3,0.3,0.5,0.5,0.0,0.5,0.0
1997,Marlies Askamp,C,PHO,Germany,,Undrafted,6-5,198lb,18.5,7.5,5.2,0.8,0.3,0.8,1.6,0.393,0.0,0.763,2.3
1997,Megan Compain,G,UTA,Saint Joseph's,,Undrafted,5-9,,3.8,1.0,1.0,0.4,0.2,0.8,1.2,0.286,0.25,,-0.1
1997,Merlakia Jones,G,CLE,Florida,1997,13,5-10,147lb,21.0,8.2,2.9,0.9,0.1,0.8,1.9,0.402,0.417,0.714,0.5
1997,Michele Timms,G,PHO,Australia,1997,,5-7,132lb,35.8,12.1,3.7,5.0,0.1,2.6,3.0,0.336,0.345,0.76,3.9
1997,Michelle Edwards,G,CLE,Iowa,1997,,5-9,150lb,31.1,10.2,3.5,4.5,0.2,1.8,3.9,0.447,0.24,0.523,0.8
1997,Mikiko Hagiwara,G,TOT,Japan,1997,14,5-9,160lb,13.8,2.9,0.9,0.8,0.1,0.2,0.6,0.291,0.279,0.563,0.0
1997,Mikiko Hagiwara,G,TOT,Japan,1997,14,5-9,160lb,13.8,2.9,0.9,0.8,0.1,0.2,0.6,0.291,0.279,0.563,-0.1
1997,Mikiko Hagiwara,G,TOT,Japan,1997,14,5-9,160lb,13.8,2.9,0.9,0.8,0.1,0.2,0.6,0.291,0.279,0.563,0.1
1997,Milica Vukadinovic,G,CHA,California,,Undrafted,6-1,150lb,14.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,,0.0
1997,Molly Tuter,G,PHO,Arizona State,,Undrafted,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
1997,Monique Ambers,F,PHO,Arizona State,1997,25,6-4,,4.5,0.7,1.1,0.2,0.1,0.0,0.4,0.444,,0.4,0.1
1997,Mwadi Mabika,G,LAS,Democratic Republic of Congo,,Undrafted,5-11,,15.5,6.0,2.6,1.0,0.3,1.1,1.3,0.39,0.184,0.542,0.6
1997,Nancy Lieberman,G,PHO,Old Dominion,1997,15,5-10,,11.2,2.6,1.3,1.6,0.1,0.6,1.6,0.325,0.231,0.8,-0.2
1997,Nicole Levesque,G,CHA,Wake Forest,,Undrafted,5-3,,23.0,4.0,1.7,2.8,0.1,0.8,2.6,0.367,0.348,0.933,-0.1
1997,Pamela McGee,F-C,SAC,USC,1997,2,6-3,,25.6,10.6,4.4,0.7,0.5,1.0,2.7,0.459,0.286,0.705,1.0
1997,Penny Moore,F,CHA,Cal State Long Beach,1998,4,6-0,,19.3,4.8,2.6,1.0,0.4,0.6,1.6,0.358,0.2,0.516,-0.3
1997,Penny Toler,G,LAS,,1997,,5-8,132lb,32.4,13.1,3.4,5.1,0.1,1.3,3.8,0.426,0.184,0.839,2.1
1997,Pietra Gay,G-F,HOU,LSU,,Undrafted,5-11,,2.4,0.8,0.6,0.4,0.0,0.2,0.8,0.5,,0.4,-0.1
1997,Raegan Pebley,F-C,UTA,Colorado,1997,21,6-3,169lb,5.4,1.5,0.9,0.1,0.4,0.1,0.0,0.385,,1.0,0.1
1997,Rebecca Lobo,C,NYL,UConn,1997,,6-4,,33.5,12.4,7.3,1.9,1.8,0.9,3.1,0.376,0.286,0.61,1.9
1997,Rhonda Blades,G,NYL,Vanderbilt,1998,1,5-7,138lb,10.4,2.9,0.8,1.1,0.0,0.5,1.4,0.357,0.315,0.65,0.1
1997,Rhonda Mapp,C,CHA,NC State,1997,3,6-2,,25.4,11.6,5.5,2.3,0.4,0.8,2.4,0.492,0.5,0.774,3.7
1997,Rushia Brown,F,CLE,Furman University,,Undrafted,6-2,175lb,18.3,6.3,4.0,0.7,0.5,1.2,1.0,0.52,,0.734,2.9
1997,Ruthie Bolton,G,SAC,Auburn,1997,,5-9,150lb,35.3,19.4,5.8,2.6,0.0,2.3,2.5,0.402,0.344,0.768,3.8
1997,Ryneldi Becenti,G,PHO,,,Undrafted,5-6,,8.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,0.0
1997,Sharon Manning,F-C,CHA,NC State,1997,10,6-3,,15.6,4.9,3.5,0.5,0.2,0.9,1.0,0.464,,0.42,1.1
1997,Sheryl Swoopes,F-G,HOU,Texas Tech,1997,,6-0,145lb,14.3,7.1,1.7,0.8,0.4,0.8,0.4,0.472,0.25,0.714,0.9
1997,Sophia Witherspoon,G,NYL,Florida,1997,11,5-10,145lb,31.0,14.5,3.0,2.3,0.3,1.8,2.8,0.406,0.349,0.748,3.6
1997,Sue Wicks,F,NYL,Rutgers University,1997,6,6-3,174lb,11.9,3.6,3.4,1.0,0.6,0.6,1.6,0.355,0.286,0.667,0.4
1997,Susie Hopson-Shelton,F,CHA,Mars Hill University,,Undrafted,6-2,175lb,4.8,2.7,0.8,0.2,0.0,0.2,0.3,0.636,,1.0,0.2
1997,Tajama Abraham,C,SAC,George Washington,1997,31,6-2,190lb,15.1,4.4,2.4,0.5,0.4,0.4,1.8,0.381,,0.684,-0.8
1997,Tamecka Dixon,G,LAS,Kansas,1997,14,5-9,148lb,26.5,11.9,3.0,2.0,0.2,1.8,2.1,0.456,0.423,0.773,3.3
1997,Tammi Reiss,G,UTA,Virginia,1997,5,5-6,,29.7,7.7,2.8,3.1,0.1,0.8,2.2,0.312,0.297,0.764,-0.5
