RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG.,X3PM,X3PA,X3P.,FTM,FTA,FT.,REB,AST,STL,BLK,TO,DD2,TD3,year,team.abbr,overall_pick,team,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
25,Vickie JohnsonLV,G,26,30.3,9.5,4.2,10.3,40.1,0.2,0.8,19,1,1.3,77.1,4.2,2.5,0.7,0.2,1.9,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Haixia Zheng,NA,28,19.9,9.3,3.9,6.4,61.8,0,0,0,1.4,2.1,66.1,4.4,0.6,0.4,0.7,1.6,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Toni Foster,NA,28,26.3,8.8,3.4,7.2,46.8,0,0.2,16.7,2,2.9,70.4,6.1,1,1.9,0.8,1.9,1,0,1997,NA,8,Phoenix Mercury,,Iowa,3,54,4.9,0.195,18.4,6.5,3.9,0.9
28,Latasha Byears,NA,28,23.4,8.7,3.4,7.5,45.9,0,0.2,20,1.8,2.5,73.9,6.9,1.7,1.4,0.3,2.4,7,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Merlakia Jones,NA,28,21,8.2,3.3,8.2,40.2,0.2,0.4,41.7,1.4,2,71.4,2.9,0.9,0.8,0.1,1.9,0,0,1997,NA,13,Cleveland Rockers,,Florida,8,251,14.3,0.09,25.3,9.4,3.7,1.4
30,Kim Williams,NA,28,21.7,8.1,3.1,8.2,38.4,0.3,1.2,26.5,1.5,1.9,77.4,2.9,2.1,1.4,0.3,2,0,0,1997,NA,28,Utah Starzz,,DePaul,2,58,0.3,0.01,19.8,7.8,2.4,1.8
31,Lynette Woodard,NA,28,25.4,7.8,3.1,7.8,39.9,0,0.3,0,1.5,2.3,67.2,4.1,2.4,1.6,0.4,2.5,2,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Tammy Reiss,NA,28,29.7,7.7,2.6,8.3,31.2,1.1,3.6,29.7,1.5,2,76.4,2.8,3.1,0.8,0.1,2.2,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Chantel Tremitiere,NA,28,37.5,7.6,2.5,7,35.2,0.3,1.3,18.9,2.4,3.2,74.4,4.1,4.8,1.9,0,4.4,1,0,1997,NA,18,Sacramento Monarchs,,Auburn,4,101,-0.8,-0.014,22.5,4.3,2.2,3.1
34,Marlies Askamp,NA,28,18.5,7.5,2.5,6.4,39.3,0,0,0,2.5,3.3,76.3,5.2,0.8,0.8,0.3,1.6,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Teresa Weatherspoon,G,28,33,7,2.3,4.9,46.7,0.1,1.3,8.6,2.3,3.6,65,4.1,6.1,3,0.1,3.4,2,0,1997,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Andrea Congreaves,NA,28,23.5,6.7,2.3,4.5,50,0.6,1.6,40.9,1.5,2,76.8,4.8,1.5,0.6,0.2,1.1,1,0,1997,NA,26,Charlotte Sting,,Mercer University,3,84,6.5,0.142,21.9,6,3.6,1.3
37,Linda Burgess,NA,28,17.6,6.5,2.6,4.8,54.1,0,0.1,50,1.3,1.8,73.5,4.2,0.3,0.7,0.5,1.7,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Rushia Brown,NA,28,18.3,6.3,2.3,4.4,52,0,0,0,1.7,2.3,73.4,4,0.7,1.2,0.5,1,1,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Wanda Guyton,NA,25,26.7,6.1,2.3,4.9,46.7,0,0,0,1.5,2.7,55.9,5.4,0.5,1,0.3,1.7,1,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Mwadi Mabika,NA,21,15.5,6,2.5,6.5,39,0.3,1.8,18.4,0.6,1.1,54.2,2.6,1,1.1,0.3,1.3,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Kim Perrot,NA,28,24.7,5.8,2.1,5.8,36.4,1,3.5,28.3,0.5,1.3,40.5,2.7,3.1,2.5,0.1,2.3,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Dena Head,NA,27,17.4,5.7,2,5,39,0.4,1.2,31.3,1.4,1.7,84.4,2.3,1.7,0.5,0.3,2.3,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Lady Grooms,NA,28,24.7,5.5,2.1,6,34.7,0,0.4,10,1.3,2,65.5,3,2.4,0.8,0.1,2.8,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
