RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,year
28,Cheryl FordNYL,F,31,29.4,10.6,3.8,9.3,41.1,0,0,0,3,5.1,58.9,9.6,1.1,1.3,0.8,1.7,0,0,2004
29,Natalie Williams,NA,34,28.1,10.3,3.9,8.6,45.4,0,0.1,0,2.4,3.5,69.7,6.9,1.8,1.2,0.7,1.9,0,0,2004
30,Kelly MillerNYL,G,34,32.2,10.2,3.7,9.6,38.7,1.4,3.3,41.1,1.5,1.7,87.7,3.2,3.1,1.1,0.1,2.2,0,0,2004
31,Nikki Teasley,NA,34,32.5,9.9,3.2,8.2,38.8,2,4.9,41.2,1.5,2,76.5,3.4,6.1,1.3,0.2,3,0,0,2004
32,Tamecka Dixon,NA,32,28.5,9.7,3.7,8.4,44.2,0.2,0.3,45.5,2.1,2.7,78.2,3.4,3.5,1.1,0,2.2,0,0,2004
33,Tammy  Sutton-BrownIND,C,34,28.5,9.6,3.1,6.6,47.3,0,0,0,3.3,4.8,69.8,6.2,0.4,0.9,2.1,2.1,0,0,2004
34,Vickie JohnsonSAS,G,34,32.9,9.4,3.6,8.6,41.3,0.5,1.8,28.3,1.8,2.1,88.6,3.6,3.6,0.7,0.1,2.1,0,0,2004
35,Plenette PiersonMIN,F,31,25.9,9.4,3.6,8.2,44.3,0,0.1,0,2.1,3.5,60.6,4.2,0.8,0.8,0.5,1.6,0,0,2004
36,Shannon Johnson,NA,31,30.8,9.3,2.9,7.5,38,0.9,2.5,35.5,2.6,3.5,76.6,2.6,4.4,1.5,0.1,3.2,0,0,2004
37,Sheri SamTUL,F,34,29.9,9.1,3.4,8.4,41.2,0.3,1.2,26.2,1.9,2.2,85.5,4.1,2.4,1.6,0.2,1.9,0,0,2004
38,Wendy Palmer,NA,33,23.8,9,3.3,7.7,42.7,0.4,1.2,31.7,2.1,2.6,80,5.5,0.9,0.7,0.2,1.2,0,0,2004
39,Michelle SnowLOS,C,31,28.8,8.9,3.4,7.4,45.4,0,0,0,2.2,3.6,60.2,7.7,1,0.9,1.1,2.3,0,0,2004
40,Tanya Kostic,NA,34,33.6,8.9,3.1,7.2,43.1,0.7,1.7,40.7,1.9,2.6,75.9,1.7,5,1.3,0.1,2.2,0,0,2004
41,Lindsay WhalenMIN,G,31,30.5,8.9,2.7,5.9,45.4,0.6,1.8,35.1,2.9,3.9,73,2.9,4.8,1.3,0,3,0,0,2004
42,Kara LawsonWAS,G,34,24.3,8.6,3,7.2,42,1.5,3.9,38.1,1.1,1.3,84.1,2.3,2,0.6,0.2,1.6,0,0,2004
43,Chasity Melvin,NA,34,24.3,8.6,3.1,7.5,40.6,0,0,0,2.5,3.3,76.6,3.9,1.1,0.4,0.5,1.5,0,0,2004
44,DeMya Chakheia WalkerWAS,F,34,26,8.4,3.3,7.9,41.6,0,0.3,0,1.8,3,60.2,4.2,2.5,0.8,0.4,2.5,0,0,2004
45,Charlotte Smith,NA,34,28.7,8.2,2.9,6.1,48.1,0.9,1.7,50,1.6,2.1,72.6,4.1,1.2,0.5,0.4,1.6,0,0,2004
46,Stacey Dales,NA,31,25.2,8.2,2.8,7.4,38.2,1.3,3.8,33.6,1.3,1.8,72.7,2.1,2.5,0.6,0.1,1.2,0,0,2004
47,Kamila Vodichkova,NA,34,25.7,8,2.8,7.1,39,0,0.1,50,2.5,3.2,77.8,4.9,1.6,0.9,0.4,2.1,0,0,2004
48,Tamika Raymond,NA,34,28.8,7.5,3,5.6,54,0,0.1,25,1.4,2.6,56.3,6,1.1,1.1,0.1,1.9,0,0,2004
49,Tynesha LewisSEA,G,34,18.1,7.2,2.7,6.2,43.3,0.6,1.5,40,1.3,1.7,75.9,1.7,1.3,0.8,0.2,1.3,0,0,2004
50,Kelly Schumacher,NA,32,18.8,7,2.9,6.1,46.9,0.2,0.4,38.5,1.1,1.4,77.8,3.3,0.8,0.3,1,1.6,0,0,2004
1,Sheryl Swoopes,NA,33,37.1,18.6,6.6,14.7,44.7,0.8,2.3,36,4.6,5.5,85,3.6,4.3,2,0.8,2.2,0,0,2005
2,Lauren JacksonSEA,F,34,34.4,17.5,6,13.2,45.8,1,3.5,28.8,4.4,5.3,83.3,9.1,1.7,1.1,1.9,1.8,0,0,2005
3,Chamique HoldsclawWAS,F,33,35.8,16.8,6.5,13.5,48,0.1,0.4,23.1,3.8,4.8,78.5,6.6,3.2,1.2,0.5,3,0,0,2005
4,Diana TaurasiPHO,G,33,32.7,16,5.3,12.9,41,1.7,5.4,31.3,3.7,4.6,80.1,4.2,4.5,1.2,0.8,3.4,0,0,2005
5,Deanna  NolanNYL,G,33,36.2,15.8,5.5,13.9,39.7,0.8,2.7,31.1,3.9,4.8,80,4.7,3.7,1.7,0.4,3,0,0,2005
6,Nykesha Sales,NA,34,31.5,15.6,5.9,14.1,42,1.4,3.4,42.6,2.4,3.2,75,3.6,2.1,1.8,0.3,1.9,0,0,2005
7,Lisa Leslie,NA,34,32.3,15.1,6,13.4,44.5,0.2,1,21.2,3,5.1,58.6,7.2,2.5,2,2.1,2.9,0,0,2005
8,Tamika CatchingsIND,F,34,34.8,14.7,4.6,12.1,38.3,1,3.6,28.5,4.5,5.7,78.8,7.8,4.2,2.6,0.5,2.7,0,0,2005
9,Alana BeardLOS,G,30,33.9,14.1,5.2,13.6,38,1.1,3.4,31.7,2.7,3.5,76.2,4.3,3,1.5,0.3,2.1,0,0,2005
10,Becky HammonSAS,G,34,34.2,13.9,4.3,9.9,43.2,1.9,5.2,36.5,3.5,3.9,90.1,3.4,4.3,1.8,0.1,3.1,0,0,2005
11,Yolanda Griffith,NA,34,28.8,13.8,0,0,0,0,0,0,3.6,5.1,70.7,6.5,1.5,1.2,0.9,2,0,0,2005
11,Taj McWilliams-FranklinLOS,F,34,31.6,13.8,5.3,10.7,49.3,0.1,0.5,22.2,3.1,4,78.7,7.3,1.9,1.1,0.7,1.7,0,0,2005
13,Ann WautersNYL,C,28,31.3,13.7,5.4,10,54.1,0.1,0.1,100,2.8,3.8,75.2,6.6,1.5,0.6,0.8,2.5,0,0,2005
14,Tangela  SmithSAS,C,31,34.3,13.6,0,13.1,0,0,0.2,0,2.7,3.4,79.8,5.2,1.3,1.6,1,2.7,0,0,2005
15,Penny TaylorPHO,F,29,29.5,13.2,4.2,9,46.4,1.3,3.2,40.4,3.5,4.1,86.4,4.1,3.2,1.3,0.4,2.7,0,0,2005
16,Anna DeForge,NA,33,33.8,13.1,4.3,11,39,1.4,4.4,32.6,3.1,3.6,85,3.5,2.4,1.2,0.2,2.5,0,0,2005
17,Marie  Ferdinand-HarrisLOS,G,31,31.4,12.5,4.3,11.5,36.9,0.6,2.1,30.8,3.4,4.3,77.6,3.7,2.2,1.5,0.2,2.3,0,0,2005
18,Betty LennoxMIN,G,28,28.4,12.3,4.4,11.1,39.1,0.9,2.8,31.2,2.7,3.1,87.4,4.4,2,1.3,0.2,2.7,0,0,2005
19,Lindsay WhalenMIN,G,34,30.8,12.1,4,8.5,46.6,0.5,1.4,34.8,3.7,4.6,80.1,3.7,5.1,1.2,0.1,2.6,0,0,2005
20,Michelle SnowLOS,C,33,29.3,12,0,0,0,0,0,0,2.8,3.9,70.8,6.8,1.2,0.6,1.2,2,0,0,2005
21,Sue BirdSEA,G,30,33.9,12,4.3,9.7,44,1.5,3.4,43.7,1.9,2.3,85.3,2.4,5.8,1,0.2,2.8,0,0,2005
22,Katie SmithNYL,G,36,31.6,11.9,3.9,10.2,38,1.5,4.4,33.3,2.7,3.4,78,2.3,2.4,0.8,0.1,1.9,0,0,2005
23,DeLisha Milton-JonesATL,F,33,32.4,11.9,4.2,10,41.8,1.2,3.5,33.3,2.4,3,79.6,5.2,1.8,1.7,0.5,2.3,0,0,2005
24,Chasity Melvin,NA,34,30.8,11.7,4.4,9,49.2,0.1,0.5,25,2.7,4.1,67.4,5.8,0.7,0.9,0.4,1.8,0,0,2005
25,Sheri SamTUL,F,34,31.7,11.4,4.3,11.1,38.7,0.5,1.6,32.1,2.3,3.2,71.3,4.3,2.7,1.3,0.1,2.9,0,0,2005
26,Nicole Ohlde,NA,34,30.2,11.2,0,8.6,0,0,0.1,0,3.4,4.2,81.7,5.6,2.3,0.6,0.6,2.5,0,0,2005
27,Kamila Vodichkova,NA,27,28.9,11.2,4.7,9.3,50.2,0.1,0.3,42.9,1.8,2.7,66.7,7,2.3,1,0.8,2,1,0,2005
28,Katie DouglasCONN,G,32,31.1,10.9,3.7,9,41.3,1,3.4,28.2,2.5,3.3,77.1,4.1,2.9,1.5,0.1,1.7,0,0,2005
29,Nicole PowellSEA,F,34,29,10.7,3.5,9.3,37.9,1.9,4.7,41.5,1.7,2.1,80.6,3.6,1.8,1.1,0.5,1.3,0,0,2005
30,Vickie JohnsonSAS,G,34,30,10.4,3.8,8,47.4,0.9,2.5,35.7,1.9,2.5,77.4,3.5,2.7,0.7,0.1,1.3,0,0,2005
31,Kelly MillerNYL,G,34,31.1,10.2,3.6,8.2,43.9,1.1,3.4,32.5,2,2.3,84.8,2.5,2.4,1.2,0.1,1.6,0,0,2005
32,Janeth Arcain,NA,34,31.9,10.1,3.8,8.9,42.1,0.1,0.5,18.8,2.4,2.8,88.3,2.7,1.6,1.6,0.2,1.6,0,0,2005
33,Janell Burse,NA,34,25.7,10,0,7.1,0,0,0,0,2.5,3.6,69.9,5.9,0.7,0.6,1.2,2.3,0,0,2005
34,Svetlana AbrosimovaSEA,F,31,24.5,9.8,3.5,8.9,39.6,1.1,2.6,40.2,1.7,2.4,72.6,3.5,1.9,1.5,0.2,2.6,0,0,2005
35,Wendy Palmer,NA,34,25.4,9.6,3.7,7.1,51.7,0.7,1.6,42.9,1.5,2,75.4,5.7,1,0.6,0.2,1.2,0,0,2005
36,Cheryl FordNYL,F,33,27.6,9.5,0,0,0,0,0,0,2.2,4.5,49,9.7,0.8,1,1.4,2.1,0,0,2005
37,Tamika Whitmore,NA,34,27.1,9.4,3.3,7.7,43.3,0.1,0.6,26.3,2.6,3,86.4,4.1,1.2,0.9,0.4,1.6,0,0,2005
38,Tammy  Sutton-BrownIND,C,34,26.2,9.4,0,0,0,0,0,0,2.8,4.1,68.1,5.3,0.4,0.9,1.1,2,0,0,2005
39,Shannon Johnson,NA,34,32,9.3,2.6,7.1,36.5,0.8,2.6,31.1,3.3,4,83.1,2.7,4.6,1.4,0.1,3.3,0,0,2005
40,Temeka JohnsonLOS,G,34,28.7,9.3,3.7,8,45.8,0.4,1.3,30.2,1.5,1.9,78.8,3.1,5.2,1.3,0,2.6,0,0,2005
41,Shameka ChristonPHO,F,34,23.9,9.1,3.3,7.9,41.1,0.7,2.6,27,1.9,2.2,85.5,2.7,1.2,1,0.6,1.5,0,0,2005
42,Asjha JonesMIN,F,33,21.5,9.1,4,8.3,48.2,0.1,0.2,40,1,1.7,58.9,3.6,1.2,0.3,0.2,1.5,0,0,2005
43,Katie Mattera,NA,34,20,8.8,0,0,0,0,0,0,2.6,3.7,70.9,5.1,0.2,0.3,1.3,1.8,0,0,2005
44,Elena Baranova,NA,33,28.8,8.7,3.2,7.2,44.1,1,2.6,38.8,1.4,1.7,85.5,6.9,1.8,0.8,1.4,1.8,0,0,2005
45,Dominique CantyWAS,G,33,30.3,8.2,2.9,7.2,39.9,0,0.1,0,2.4,3.3,72.7,3.3,3.1,0.9,0.1,2,0,0,2005
46,Vanessa Hayden-Johnson,NA,30,19.6,8,0,7.7,0,0,0,0,1.3,2.3,55.7,5.2,0.7,0.5,2.2,2,0,0,2005
47,Iziane CastroBRAZIL,G,33,26.8,8,2.8,7.2,38.1,0.7,2.2,33.8,1.8,2.2,80.8,2.9,1.5,0.5,0.1,1.8,0,0,2005
48,Kara LawsonWAS,G,24,21.1,8,2.7,6.2,43.9,1.5,3.4,44.4,1.1,1.3,83.9,1.4,1.5,0.5,0.1,0.9,0,0,2005
49,Rebekkah BrunsonMIN,F,34,21.6,7.8,0,0,0,0,0,0,1.6,2.7,59.3,5.5,0.5,0.8,0.4,1.2,1,0,2005
50,Plenette PiersonMIN,F,35,21.6,7.7,2.6,6.6,39.4,0,0.1,50,2.5,3.6,69.6,3.5,1,0.7,0.5,2.1,0,0,2005
1,Diana TaurasiPHO,G,34,33.9,25.3,8.8,19.4,45.2,3.6,9,39.7,4.2,5.4,78.1,3.6,4.1,1.2,0.8,2.3,0,0,2006
2,Seimone AugustusLOS,G,34,33.1,21.9,8.3,18.2,45.6,0.9,2.5,35.3,4.4,4.9,89.7,3.8,1.5,0.6,0.5,2.1,0,0,2006
3,Lisa Leslie,NA,34,30.8,20,7.6,14.8,51.1,0.2,0.6,40,4.6,7.1,65,9.5,3.2,1.5,1.7,3.7,0,0,2006
4,Lauren JacksonSEA,F,30,28.4,19.5,6.4,12,53.5,1,2.6,37.7,5.7,6.3,89.9,7.7,1.6,0.8,1.7,1.3,0,0,2006
4,Cappie PondexterIND,G,32,33.3,19.5,6.8,15.5,44.2,1.5,3.9,37.3,4.3,5.1,85.3,3.3,3.1,1.2,0.1,1.4,0,0,2006
6,Alana BeardLOS,G,32,31.3,19.2,7.3,14.7,49.5,1.2,3.2,36.3,3.5,4.7,75.8,4.7,3.1,1.8,0.8,2.8,0,0,2006
7,Tamika CatchingsIND,F,32,33.5,16.6,5.2,12.8,40.2,1,3.4,30,5.3,6.6,80.5,7.8,3.9,3.1,1.1,2.6,0,0,2006
8,Katie DouglasCONN,G,32,31.3,16.4,5.6,12.6,44.3,2.3,5.4,42.2,2.9,3.5,83.9,3.8,2.5,1.9,0.1,2.3,0,0,2006
9,Tamika Whitmore,NA,34,31.1,15.8,6,13.1,45.4,0.4,1.1,39.5,3.4,4.2,82.4,5.1,1.9,1.5,0.4,2.8,0,0,2006
10,Sheryl Swoopes,NA,31,35.8,15.5,5.8,14.1,41.3,0.8,2.9,27.8,3.1,4.1,76.4,5.9,3.7,2.1,0.3,2.4,0,0,2006
11,Chamique HoldsclawWAS,F,25,29.5,15,5.9,12.6,47,0.1,0.6,20,3,3.4,88.4,6.1,2.2,1.4,0.4,2.3,0,0,2006
12,Candice DupreeATL,F,34,30.5,14.1,5.6,12.3,45.5,0,0.1,0,2.9,3.7,77.8,5.7,1.8,1.3,0.7,1.8,1,0,2006
13,Cheryl FordNYL,F,32,28.7,13.8,4.9,9.8,49.8,0,0,0,4,6.2,64.8,11.3,1.4,1.2,0.8,1.8,1,0,2006
14,Deanna  NolanNYL,G,34,32.1,13.8,5.1,12.5,40.5,1.1,3.3,34.5,2.5,2.9,85,4.5,3.6,1.4,0.3,2.5,0,0,2006
15,Betty LennoxMIN,G,34,26.1,13.7,5.6,12.4,45.2,0.9,2.6,32.2,1.6,2.1,76.1,4,2.1,1.1,0.1,2.9,0,0,2006
16,Tangela  SmithSAS,C,34,28.6,13.1,5.2,12.4,42.1,0.9,2.5,36.5,1.7,2.3,74.4,5.3,1.5,1.2,0.9,2.1,0,0,2006
17,Michelle SnowLOS,C,34,29.2,13,5.2,10.3,51,0,0,0,2.5,3.8,66.7,7.9,1.4,1,1.1,2.6,0,0,2006
18,Taj McWilliams-FranklinLOS,F,32,31.1,12.8,5.1,10.3,49.8,0,0.3,12.5,2.5,3.4,73.6,9.6,2.5,1.1,1,2.4,0,0,2006
19,Shameka ChristonPHO,F,34,29,12.4,4,10.2,39.1,1.5,4.6,33.3,2.9,3.5,82.5,3.5,1.3,0.6,1.2,2.4,1,0,2006
20,Sophia Young-MalcolmSAS,F,34,31.1,12,4.5,10.9,41.6,0,0.1,0,2.9,4,73,7.6,1.5,1.7,0.4,1.3,1,0,2006
21,Yolanda Griffith,NA,34,25.1,12,3.9,8.6,45.7,0,0,0,4.1,5.4,75.1,6.4,1.6,1.3,0.5,1.9,0,0,2006
22,Chasity Melvin,NA,34,29.5,11.9,4.5,8.6,52,0,0.1,0,2.9,4.4,65.6,6.6,1.3,1,0.8,1.8,0,0,2006
23,Katie SmithNYL,G,34,33.5,11.7,3.6,8.9,40.7,1.7,4.7,36.6,2.7,3,91.2,2.7,3.3,0.7,0.1,1.9,0,0,2006
24,Sue BirdSEA,G,34,31.4,11.4,4,9.8,41.1,1.6,4.5,36.6,1.7,2,86.8,3,4.8,1.8,0.1,2.6,0,0,2006
25,Agnieszka Bibrzycka,NA,32,23.5,11.3,4.1,9.7,41.8,1.7,4.9,35,1.4,1.7,86.8,2.1,1.5,0.8,0.4,1.5,0,0,2006
26,Tammy  Sutton-BrownIND,C,30,26.7,11.2,3.9,8.1,48.8,0,0,0,3.3,5.2,63.9,5.9,0.7,0.9,1.8,2.4,0,0,2006
27,Janell Burse,NA,27,27.4,11.1,4.2,8.2,51.1,0,0,100,2.7,4,67,6.6,0.8,0.6,0.9,2,0,0,2006
28,Asjha JonesMIN,F,34,22.9,11.1,4.6,9.8,46.4,0.1,0.6,26.3,1.8,2.3,78.5,5.4,1.4,0.7,0.6,1.8,0,0,2006
29,Kelly MillerNYL,G,27,30.1,11,4,9.6,42.1,1.1,2.9,38,1.8,2.3,77.4,5.3,3.5,1,0.2,2.7,0,0,2006
30,Nikki Teasley,NA,34,28.8,10.7,3.5,9.4,37.1,1.5,4.4,34.4,2.2,2.7,82.6,2.6,5.4,1.3,0.3,2.3,0,0,2006
31,Sheri SamTUL,F,34,29.1,10.6,4,10.1,39.9,0.6,2.3,26.9,1.9,3,62.7,5.1,2.6,1.6,0.1,2.1,0,0,2006
32,Swin CashNYL,F,34,29.1,10.5,3.6,9.5,38.4,0,0.4,7.7,3.2,4.2,76.2,4.9,3.1,0.6,0.3,2.6,0,0,2006
32,Anna DeForge,NA,34,29.3,10.5,3.7,9.5,39.1,1.4,3.8,38,1.7,2.1,80.3,4.5,2.3,1.1,0.3,1.7,0,0,2006
34,Bernadette Ngoyisa,NA,30,20.9,10.1,4.1,7.7,52.8,0,0,0,1.9,3.3,59.2,5.6,0.9,0.5,0.2,2,1,0,2006
35,Monique CurrieWAS,F,34,25,10,2.6,7.7,33.2,0.5,1.6,29.1,4.4,5.4,81,3.9,2.6,1,0.1,1.8,0,0,2006
36,Shannon Johnson,NA,32,27.3,9.9,3.3,8,40.6,1,2.8,35.2,2.4,3,80.4,3,3.7,1.9,0.2,2.3,0,0,2006
37,Vickie JohnsonSAS,G,34,29.5,9.9,3.5,9.3,37.5,0.7,2,33.3,2.2,2.6,84.4,4.9,3.6,0.8,0.1,1.7,0,0,2006
38,Jia PerkinsMIN,G,30,28,9.9,3.7,10.4,35.1,0.7,2.3,28.6,1.9,2.3,81.2,3.6,3.3,1.5,0.5,1.9,0,0,2006
39,Kamila Vodichkova,NA,28,26.3,9.7,4,8.9,44.4,0,0.3,0,1.8,2.3,76.9,6.7,1.5,1,0.7,1.9,0,0,2006
40,Erin Perperoglou,NA,34,19.6,9.7,3.4,6.4,53.7,0,0.1,0,2.8,3.8,75,3.9,1,1,0.4,1.6,0,0,2006
41,Nicole PowellSEA,F,34,26.2,9.6,3.4,9.1,37.5,1.6,4.6,35.3,1.2,1.4,81.6,3.9,1.8,1.2,0.4,1.4,0,0,2006
41,Nicole Ohlde,NA,34,25.6,9.6,3.5,7.8,45.3,0,0,0,2.6,3.9,66.4,5.6,1.6,0.6,0.7,2.2,0,0,2006
43,Margo Dydek,NA,34,21.9,9.4,3.7,7.4,49.4,0,0.1,25,2,2.5,82.1,6.1,1.2,0.6,2.5,1.5,0,0,2006
44,Tan WhiteMIN,G,34,21.6,9.3,3.5,9.2,37.7,0.6,2.6,21.6,1.8,2.4,76.3,2.6,1.6,0.8,0.3,1.6,0,0,2006
45,Lindsay WhalenMIN,G,33,26.1,9,2.7,6.8,38.9,0.2,1.9,12.9,3.4,3.8,90.3,3.7,4.6,1,0.1,2.4,0,0,2006
46,Kelly Mazzante,NA,34,21.2,8.9,3.1,8.1,37.9,1.9,4.9,38.3,0.8,1,84.8,2.9,1.9,1.4,0.2,1.4,0,0,2006
47,Nakia SanfordSEA,F,34,26.1,8.9,3.3,6.4,51.9,0,0,0,2.3,3.7,61.6,6,1.1,0.8,0.6,2.1,0,0,2006
48,Cathrine KraayeveldSAS,F,34,26.6,8.8,3.1,7,44.4,0.9,2.7,33.3,1.6,2.1,76.4,4.6,0.9,0.5,0.4,1.8,0,0,2006
49,Mwadi Mabika,NA,32,21.2,8.5,2.9,7.6,37.9,1,3,33.3,1.8,2,88.9,2,1.5,0.6,0.2,1.2,0,0,2006
50,Amber Jacobs,NA,34,25.3,8.2,2.8,6.3,44.9,1.2,3,39.2,1.4,1.7,82.5,2.6,3.4,0.8,0.1,2.6,0,0,2006
1,Lauren JacksonSEA,F,31,32.9,23.8,8.3,16,51.9,1.6,3.9,40.2,5.6,6.4,88.3,9.7,1.3,1,2,1.8,17,0,2007
2,Seimone AugustusLOS,G,34,31.9,22.6,8.7,17.1,50.8,0.8,1.8,41.9,4.4,5.1,87.3,4,2.3,1.2,0.6,2.4,0,0,2007
3,Diana TaurasiPHO,G,32,32,19.2,6.4,14.6,44,3,8.1,36.7,3.3,4,83.5,4.2,4.3,1.4,1.1,2.6,0,0,2007
4,Alana BeardLOS,G,33,35.4,18.8,6.8,16.3,41.6,1.4,4.4,32.2,3.8,4.5,84.7,4.2,3,1.9,0.7,2.8,0,0,2007
5,Becky HammonSAS,G,28,33.4,18.8,6.4,14.4,44.5,2.6,6.5,40.4,3.4,3.6,93.1,2.8,5,0.8,0.2,4.1,0,0,2007
6,Tina ThompsonSEA,F,34,36.3,18.8,6.1,14.6,42,1.5,3.8,40,5,6,83.4,6.7,2.8,0.9,0.7,3.3,4,0,2007
7,Penny TaylorPHO,F,34,29.7,17.8,5.8,11.7,49.9,1,2.6,37.8,5.1,5.8,88.4,6.3,2.9,1.5,0.6,2.3,3,0,2007
8,Cappie PondexterIND,G,31,31.2,17.2,6.2,14.5,43.1,1.2,3.5,33.6,3.5,4.4,81.5,3.6,4,0.9,0.3,2.2,0,0,2007
9,Katie DouglasCONN,G,34,33.3,17,6.1,14.2,42.8,2,5.9,33.8,2.8,3.6,77.9,4.6,3.7,1.9,0.3,2.8,0,0,2007
10,Sophia Young-MalcolmSAS,F,33,33.5,16.8,6.5,13.6,47.8,0,0.2,0,3.8,5.1,74.9,5.8,1.5,1.5,0.4,1.8,3,0,2007
11,Candice DupreeATL,F,33,32.7,16.5,6.4,14.3,44.6,0,0.2,0,3.8,4.8,77.5,7.7,1.4,0.9,1.2,2.5,8,0,2007
12,Deanna  NolanNYL,G,34,34.4,16.3,6.5,14.1,46,1.4,3.4,39.3,1.9,2.3,82.3,4.4,3.9,1.4,0.4,2.4,1,0,2007
13,Asjha JonesMIN,F,30,31.4,15.3,6.4,14.3,44.9,0,0.4,8.3,2.4,3.1,76.6,6.1,2.5,0.8,0.8,3,3,0,2007
14,DeLisha Milton-JonesATL,F,34,33.6,13.4,4.9,13.9,34.9,0.8,3.5,23.5,2.9,3.4,84.5,6.4,1.6,1.5,1.1,3.6,4,0,2007
15,Betty LennoxMIN,G,34,27.6,13.4,4.6,10.6,42.8,1,2.9,34.3,3.2,3.6,90.9,4.7,2.7,1.1,0.1,2.7,0,0,2007
15,Lindsay WhalenMIN,G,34,30.6,13.4,4.6,9.8,46.8,0.5,2.5,20.9,3.6,4.6,78.5,4.8,5,2.1,0.1,2.2,1,0,2007
17,Katie SmithNYL,G,34,34,13.2,3.8,10.4,36.1,1.8,5.8,31.1,3.9,4.6,84.7,3.8,3.6,1.2,0.1,1.7,2,0,2007
18,Nykesha Sales,NA,26,29.3,13.1,4.7,12.1,39.2,0.9,2.7,32.4,2.8,3.2,87.8,4,3.2,1.4,0.4,2.2,0,0,2007
19,Tangela  SmithSAS,C,34,31.5,12.6,4.9,11.7,41.4,0.6,1.8,32.8,2.3,2.9,78.8,6.5,1.3,1.2,1.6,1.6,3,0,2007
20,Iziane CastroBRAZIL,G,34,28.3,12.3,4.1,9.7,42,1.8,4.6,38.5,2.4,3,80.2,2.8,2.8,1,0.1,1.9,0,0,2007
21,Tammy  Sutton-BrownIND,C,34,25.3,12,4.4,9,48.5,0,0,0,3.3,4.6,71.6,5.4,0.9,1,1.4,2.5,2,0,2007
22,Jia PerkinsMIN,G,33,23.1,11.7,4.6,10,46.4,1.2,2.7,43.3,1.2,1.6,77.4,3.3,2.3,1.5,0.2,1.5,1,0,2007
23,Plenette PiersonMIN,F,34,24.9,11.6,4.4,9.2,47.8,0,0.1,0,2.9,3.8,75.4,5.8,1.7,0.8,0.9,2.3,4,0,2007
24,Nicole Ohlde,NA,34,26.8,11.5,3.8,10.1,37.4,0,0,0,4,4.7,84.5,6.1,1.6,0.5,0.6,2.4,2,0,2007
25,Shameka ChristonPHO,F,33,32.3,11.2,3.6,9.9,36,1.2,3.6,32.8,2.8,3.5,79.5,4.5,2.1,1,0.6,2.5,0,0,2007
26,Taj McWilliams-FranklinLOS,F,29,29.3,11.1,4.3,8.8,49,0.1,0.4,23.1,2.3,3,77.3,5.9,1.7,1.2,1,1.7,5,0,2007
27,Kara LawsonWAS,G,34,22.8,11,3.8,10,37.6,1.3,3.9,33.8,2.2,2.6,84.1,2.4,2,0.9,0.2,1.4,0,0,2007
27,Nakia SanfordSEA,F,34,29.2,11,3.6,6.8,53,0,0,0,3.8,5.7,66.5,7.1,0.7,0.8,0.8,2.6,6,0,2007
29,Tamika Whitmore,NA,34,25.9,10.9,4.1,9.9,41.5,0.6,2.1,30,2.1,2.7,76.3,5,1.5,0.6,0.3,2.5,1,0,2007
30,Tan WhiteMIN,G,34,24.7,10.8,4,10.4,38.6,1.3,3.7,33.9,1.6,1.9,84.1,2.6,1.9,1.1,0.3,2.9,0,0,2007
31,Michelle SnowLOS,C,34,26.2,10.8,4.1,8.4,49.3,0,0,0,2.5,3.3,76.8,6.8,1.4,0.5,1,2.7,3,0,2007
31,Cathrine KraayeveldSAS,F,34,28.4,10.8,3.8,8.8,43.3,1.6,3.8,41.1,1.6,2.1,78.6,4.5,1.5,0.9,0.6,2.5,1,0,2007
33,Swin CashNYL,F,32,30.3,10.8,3.9,9.6,41,0,0.1,0,2.9,3.8,76,5.9,2.5,0.6,0.4,2.5,6,0,2007
34,Monique CurrieWAS,F,33,25.2,10.7,3.2,7.3,44,0.4,1.2,34.1,3.9,4.9,78.5,4,1.8,0.7,0.2,1.5,3,0,2007
35,Sue BirdSEA,G,29,31.7,10.4,4.1,9.5,42.8,1.6,4.6,33.8,0.8,0.9,84.6,2,4.9,1.5,0.3,2.3,2,0,2007
36,Janel McCarvilleMIN,C,32,21.2,10.4,4.3,7.8,54.6,0,0,0,1.9,2.3,83.3,4.8,1.1,1.2,0.6,2.5,3,0,2007
37,Stacey Dales,NA,31,27.3,10.3,3.5,10.1,34.7,2.2,6.5,33.8,1.1,1.3,84.6,1.8,2.7,0.6,0,1.8,0,0,2007
38,Svetlana AbrosimovaSEA,F,34,24.5,10.1,3.9,8.8,44.3,1.3,3,44.6,1.1,1.3,83.7,4.4,2.5,1.3,0.1,2,0,0,2007
39,Chasity Melvin,NA,32,29.2,10.1,3.7,8.1,45.6,0,0.2,14.3,2.7,4,65.9,6.7,1.2,1.2,0.7,2.2,6,0,2007
40,Erin ThornIND,G,29,30.4,9.7,3.6,8.4,42.4,1.7,4.2,39,0.9,1.2,73.5,3,2.5,0.9,0,1.7,0,0,2007
41,Loree  MooreNYL,G,34,34.2,9.6,3.5,8.5,41.2,1.6,4,40.7,1,1.7,58.6,4.1,4.8,2.2,0.1,2.9,0,0,2007
41,Sidney Spencer,NA,34,24.4,9.6,3.5,8.8,39.3,1.6,3.6,43.9,1.1,1.2,88.1,4.1,1.2,0.8,0.3,1,2,0,2007
