RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
37,Erica WheelerSEA,G,44,25.6,10.3,3.8,9.5,40,1.7,4.6,37.3,1,1.1,86,2.7,3.3,1.3,0.2,1.5,0,0
38,Natasha CloudNY,G,41,29,10.1,3.7,8.5,43.3,1.3,3.8,33.8,1.5,1.7,87,3.7,5.1,1.2,0.3,1.9,0,0
39,DeWanna BonnerPHX,F,33,23.6,9.8,3.2,7.8,40.9,1.2,3.6,33.3,2.3,2.6,87.2,4.2,1.2,0.8,0.3,0.8,1,0
40,Brittney GrinerATL,C,39,20.8,9.8,4,7.7,51.8,0.1,0.5,26.3,1.7,2.2,76.5,5.2,0.8,0.1,1.2,1.5,1,0
41,DiJonai CarringtonDAL/MIN,G,31,21.9,9.8,3.5,8.9,38.6,0.7,2.3,31.9,2.1,2.6,80.5,4,1.5,1.1,0.4,1.9,0,0
42,Alanna SmithMIN,F,42,26.5,9.6,3.8,7.9,48.5,1.3,3.8,32.9,0.7,1.5,47.7,5.1,2.9,1.3,1.9,1.5,1,0
43,Sami WhitcombPHX,G,43,23.9,9.1,3,7.8,38.5,2,5.5,36.1,1.1,1.3,85.2,2.6,2.5,0.8,0.2,1.6,0,0
44,Natisha HiedemanMIN,G,44,18.9,9.1,3.4,7,49.2,1,2.8,37.1,1.2,1.5,76.1,1.9,2.8,0.7,0.2,1.2,1,0
45,Rachel BanhamCHI,G,44,24.6,9,2.9,7.7,38.2,2,5.5,35.7,1.2,1.3,88.1,1.7,2.7,0.6,0.3,1.6,1,0
46,Bria HartleyCON,G,38,22.8,8.9,2.8,7.7,36.2,1.4,3.9,36.7,1.9,2.4,77.2,2,3.1,0.8,0,1.8,0,0
47,Saniya RiversCON,G,42,26.1,8.8,3.4,8.3,40.7,1,3,34.1,1,1.4,74.6,2.8,2.7,1.5,0.9,1.5,0,0
48,Leonie FiebichNY,F,37,28.1,8.7,2.9,6,48.9,1.4,3.2,42.5,1.5,1.7,87.1,3.5,1.7,0.9,0.4,1.2,0,0
49,Naz HillmonATL,F,44,25.5,8.6,3.2,6.8,46.3,1.2,3.8,32.1,1.1,1.3,83.1,6.2,2.4,0.5,0.4,1.1,3,0
50,Elizabeth WilliamsCHI,C,43,21.1,8.5,3.7,7.6,48,0,0,0,1.2,1.9,61.7,5.2,1.8,0.7,0.9,1.3,4,0
